Period,Stock - food,Stock - housing,Stock - resources,Price - food,Price - housing,Price - resources,Cash - end
1,120000.0,12.0,49254.545454545456,10.0,200000.0,200.0,50549090.90909091
2,45275.26632344295,11.1,49718.181818181816,10.0,200000.0,200.0,51383610.973129205
3,158275.26632344295,10.3,50236.36363636363,24.91842141245332,181081.08108108107,120.4059243006034,48650302.057612896
4,96092.29956335924,10.600000000000001,47122.72727272727,10.701559061525936,216504.85436893202,118.16865725660514,49618739.5209824
5,41175.809851574944,10.05,45700.0,14.413246917304557,213207.5471698113,124.4381209607408,50704570.106431134
6,177175.80985157494,10.65,42327.27272727272,27.016541437625357,231343.28358208953,133.34792122538292,47341260.67144318
7,137783.4021987652,10.4,38690.90909090908,10.124220091752566,222065.72769953051,142.46134020618558,48313635.74550255
8,106648.57572635863,11.3,34881.81818181818,11.615805458263072,253846.15384615384,155.21616541353387,49038062.7789419
9,84768.34123479595,11.350000000000001,30786.36363636363,13.581673551860852,232743.3628318584,174.92832942402922,50040006.83477128
10,72139.69748910906,11.600000000000001,26381.818181818177,15.847440199245584,232158.59030837,201.5059796249816,51069641.110372484
11,69759.6311704629,13.05,21695.454545454537,17.797728231316853,237931.03448275864,232.06409372846312,51854537.61403901
12,78625.11682750224,13.700000000000003,16704.54545454545,18.287683360342836,214942.52873563216,270.33312382149603,52901903.821083814
13,99733.11682750241,15.550000000000004,11749.999999999993,16.84471682541235,216788.32116788317,335.1020408163266,53805565.437307864
14,134080.58130732353,16.400000000000006,6536.363636363629,14.375440517850183,196463.02250803856,451.83752417794983,55500528.482116975
15,167664.44812416742,16.850000000000005,4495.454545454537,12.001809306479974,197560.97560975605,700.0,56437195.24141897
16,200481.6428061357,17.950000000000006,6336.363636363628,10.621863120881406,194955.4896142433,700.0,54585528.08928376
17,209529.0785025894,17.700000000000006,8536.363636363629,9.72054048934024,183565.45961002784,684.6484935437599,53037246.80337791
18,196803.65593430828,17.150000000000006,11072.727272727265,9.534893839145507,190395.48022598866,465.0159744408949,52083850.262848936
19,165302.26334344986,17.350000000000005,14922.727272727265,9.847561797307801,193294.4606413994,322.9064039408869,51112213.62578797
20,100021.77644330641,16.300000000000004,6409.0909090909045,10.794591224561106,192219.02017291065,213.7678952177887,53838661.894101076
21,58959.05836786062,15.250000000000004,4986.363636363629,14.615062888481356,198159.50920245395,435.1063829787236,55265901.30340982
22,27110.95962113689,14.000000000000004,4949.999999999991,21.37725994150675,204918.03278688522,544.3938012762085,56222670.06817314
23,4474.318026349705,13.550000000000004,4986.363636363629,35.0,221428.5714285714,612.8558310376502,57092309.71455036
24,189474.3180263497,11.900000000000004,9572.727272727265,35.0,218081.18081180807,681.5861440291714,47851141.756865144
25,188251.05322634996,10.100000000000005,14527.272727272719,10.154462760047878,234453.781512605,397.7207977207979,46315054.38991934
26,186229.68245147442,8.150000000000006,19672.727272727265,10.208859089786237,268316.8316831682,299.9374217772216,45315593.73087491
27,103406.9922890706,7.250000000000005,14645.454545454533,10.286611314384421,308588.95705521456,187.10720887245844,47385927.58217757
28,79779.75638832827,5.400000000000006,11154.545454545447,14.55922387689887,320689.6551724136,254.2520173805092,49210768.340173334
29,66344.73540818691,3.600000000000006,12245.454545454535,17.440163381699605,396296.29629629594,351.42624286878583,49775036.55130731
30,64098.67696503288,1.8500000000000059,13399.999999999995,20.01960701749709,572222.2222222214,337.5649591685229,50431656.55834463
31,74038.31558018614,0.15000000000000568,14595.454545454537,20.618830449452847,700000.0,359.49796472184534,50986949.35900156
32,97160.37262717582,1.5000000000000058,15859.090909090903,18.576447188120593,700000.0,380.4422298349425,49131683.05150512
33,134461.55627880312,2.9000000000000057,17218.18181818181,15.387202082130564,700000.0,398.652909143021,47035916.65605594
34,186938.5614539914,4.350000000000006,18649.99999999999,12.535892721938001,700000.0,353.959873284055,44856264.36660902
35,238588.06976442185,5.850000000000006,22113.636363636353,10.44225682776355,513793.10344827524,323.6168657080186,42425346.13667907
36,289406.7494609549,7.450000000000006,26090.90909090908,9.281286524699448,407692.30769230734,291.8807810894142,40140486.24705895
37,313391.2553798353,9.150000000000006,33677.27272727272,8.54372041482662,341610.7382550333,264.4599303135889,37348541.88056045
38,312538.22888868104,10.950000000000006,42331.81818181818,8.28568798849308,296721.3114754097,218.97691996220817,34926365.72394704
39,289844.29783225455,12.850000000000007,51945.454545454544,8.30792105057004,264383.5616438355,186.16987007409,32822806.911609896
40,247306.0764780157,14.850000000000007,62613.63636363637,8.581282743190394,240077.8210116731,162.12810640532024,30978071.657450207
41,214920.16546145547,16.950000000000006,71159.09090909091,9.214185726134495,221212.12121212116,143.73865698729583,29583623.842211787
42,192683.1517312097,19.150000000000006,80359.09090909091,9.868737738060858,206194.69026548672,137.87927179814753,28080957.479666214
43,181591.60849395167,21.450000000000006,90150.00000000001,10.452490208244555,193994.7780678851,133.20323547711973,26446522.968020406
44,182642.09515906277,23.900000000000006,100495.45454545457,10.80882039550139,183916.08391608388,132.97534412343063,24608883.66243982
45,196831.1572830806,26.500000000000007,111513.63636363638,10.798663832228804,175313.80753138073,133.47053236238636,22529242.257948056
46,225155.3265139233,29.250000000000007,123281.81818181819,10.402316881476683,167924.52830188678,134.23959564668,20193056.85260473
47,268611.12053488917,32.150000000000006,135827.27272727274,9.741729371896767,161538.46153846153,135.22970282427548,17604742.639172778
48,328195.0430084311,35.2,149227.27272727274,8.990617372694524,155987.55832037324,134.00040157954624,14797678.95660581
49,404903.5835197043,38.45,163445.45454545456,8.279269792550362,151136.36363636362,132.95766067621076,11780978.878887534
50,499733.21751988714,41.7,179104.54545454547,7.668717685213129,146814.044213264,132.09299738583903,8508155.289335774
